IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba
2673356_1,2023-02-25 19:00:00,Valenciennes,Dijon,H/D,1.4385000000000001,0.95,0.6951685783802571,0.22007299270072989
2673356_1,2023-02-25 19:00:00,Valenciennes,Dijon,"H/D&M4,5",1.4280000000000002,0.95,0.7002801120448179,0.2147058823529412
2659751_1,2023-02-25 15:30:00,Werder Breme,Bochum,H/A,1.302,1.0,0.7680491551459293,0.19354838709677413
2632192_1,2023-02-26 17:00:00,FC Salzburg,SV Ried,"H/D&M4,5",1.3755000000000002,0.9444444444444444,0.7270083605961468,0.18108566581849028
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,H/A,1.3545,0.95,0.7382798080472499,0.17480620155038762
2663781_1,2023-02-24 21:15:00,FC Famalicao,Portimonense,"H/A&M4,5",1.4280000000000002,0.9,0.7002801120448179,0.16470588235294126
2673615_1,2023-02-24 20:30:00,Frosinone,Parme,"H/D&M4,5",1.3125,0.95,0.7619047619047619,0.1499999999999999
2663781_1,2023-02-24 21:15:00,FC Famalicao,Portimonense,H/A,1.3125,0.95,0.7619047619047619,0.1499999999999999
2672338_1,2023-02-25 21:00:00,NEC Nijmegen,FC Volendam,"H/D&P1,5",1.3755000000000002,0.9,0.7270083605961468,0.13664122137404588
2634364_1,2023-02-25 16:00:00,Everton,Aston Villa,H/A,1.3755000000000002,0.9,0.7270083605961468,0.13664122137404588
2673615_1,2023-02-24 20:30:00,Frosinone,Parme,H/D,1.26,0.95,0.7936507936507936,0.11666666666666659
2634223_1,2023-02-26 16:30:00,Servette,Winterthur,H/D,1.2495,0.95,0.8003201280512204,0.10966386554621843
2659571_1,2023-02-24 18:30:00,Karlsruhe,Jahn Regensburg,H/A,1.3125,0.9,0.7619047619047619,0.09999999999999998
2634137_1,2023-02-27 22:15:00,Guimaraes,Braga,H/A,1.302,0.9,0.7680491551459293,0.09354838709677415
2672297_1,2023-02-25 16:00:00,Aberdeen,Livingston,H/A,1.2915,0.9,0.7742934572202864,0.08699186991869923
2634430_1,2023-02-26 20:45:00,Marseille,Paris SG,H/A,1.2915,0.9,0.7742934572202864,0.08699186991869923
2667346_1,2023-02-25 16:00:00,Reading,Blackpool,H/D,1.2915,0.9,0.7742934572202864,0.08699186991869923
2648401_1,2023-02-26 18:30:00,Almeria,Barcelona,H/A,1.2075,0.95,0.8281573498964803,0.08043478260869552
2672338_1,2023-02-25 21:00:00,NEC Nijmegen,FC Volendam,H/D,1.2075,0.95,0.8281573498964803,0.08043478260869552
2659747_1,2023-02-25 15:30:00,Hoffenheim,Dortmund,H/A,1.26,0.9,0.7936507936507936,0.06666666666666665
2667342_1,2023-02-25 16:00:00,Burnley,Huddersfield,"H/D&M4,5",1.2495,0.9,0.8003201280512204,0.0596638655462185
2648414_1,2023-02-27 21:00:00,Grenade,Málaga,H/D,1.1760000000000002,0.95,0.8503401360544216,0.05714285714285716
2632192_1,2023-02-26 17:00:00,FC Salzburg,SV Ried,"H/D&M3,5",1.7955,0.8888888888888888,0.556947925368978,0.30409356725146197
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,"H/A&P2,5",2.52,0.7,0.3968253968253968,0.28333333333333327
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,"H/A&P1,5",1.9005,0.8,0.5261773217574323,0.24751381215469614
2634436_1,2023-02-26 15:00:00,Nantes,Rennes,H/D,1.7115,0.8500000000000001,0.5842827928717499,0.23650306748466265
2659566_1,2023-02-25 13:00:00,Kaiserslautern,SpVgg Greuther Furth,"H/D&P1,5",1.806,0.8,0.5537098560354374,0.2186046511627907
2634417_1,2023-02-26 15:00:00,Reims,Toulouse,"H/A&P2,5",1.9320000000000002,0.75,0.5175983436853001,0.2065217391304348
2634359_1,2023-02-25 20:45:00,Crystal Palace,Liverpool,H/D,2.1105,0.7,0.4738213693437574,0.20248756218905462
2649157_1,2023-02-25 16:15:00,Genes,SPAL,"H/D&M2,5",1.8690000000000002,0.75,0.5350454788657035,0.1882022471910112
2649207_1,2023-02-27 18:30:00,Hellas Verone,Fiorentina,"H/A&M3,5",1.6905000000000001,0.8,0.5915409642117716,0.17888198757763984
2634436_1,2023-02-26 15:00:00,Nantes,Rennes,"H/D&M4,5",1.6800000000000002,0.8,0.5952380952380952,0.17500000000000004
2648408_1,2023-02-25 21:00:00,Mirandes,Leganes,H/D,1.554,0.8500000000000001,0.6435006435006435,0.17432432432432443
2649163_1,2023-02-25 18:00:00,Empoli,Naples,"H/A&M3,5",1.806,0.75,0.5537098560354374,0.16860465116279066
2666566_1,2023-02-25 21:30:00,Vizela,Benfica,"H/A&M3,5",1.806,0.75,0.5537098560354374,0.16860465116279066
2648409_1,2023-02-24 21:00:00,Eibar,Villarreal B,"H/A&M3,5",1.533,0.8500000000000001,0.6523157208088716,0.16506849315068506
2667337_1,2023-02-25 16:00:00,QPR,Blackburn,"D/A&M3,5",1.9530000000000003,0.7,0.5120327700972862,0.16236559139784945
2673356_1,2023-02-25 19:00:00,Valenciennes,Dijon,"H/D&M3,5",1.6380000000000001,0.8,0.6105006105006104,0.15897435897435908
2662660_1,2023-02-26 13:30:00,Club Brugge,KAA Gent,"H/D&P1,5",1.6380000000000001,0.8,0.6105006105006104,0.15897435897435908
2649158_1,2023-02-25 14:00:00,Reggina,Modena,"H/A&P1,5",1.764,0.75,0.5668934240362812,0.15476190476190477
2648415_1,2023-02-26 16:15:00,Levante,Lugo,"H/D&M2,5",1.7535,0.75,0.570287995437696,0.1511976047904191
2673959_1,2023-02-26 14:00:00,AC Horsens,Viborg FF,H/D,1.827,0.7222222222222222,0.5473453749315819,0.14750957854406133
2667339_1,2023-02-25 16:00:00,Preston N. End,Wigan Athletic,D/A,1.6065,0.8,0.6224712107065048,0.14640522875816997
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,"H/D&M2,5",1.8900000000000001,0.7,0.5291005291005291,0.14444444444444438
2674990_1,2023-02-25 14:00:00,Hapoel Tel Aviv,Moadon Sport Ashdod,"H/D&P1,5",1.8585,0.7,0.5380683346785041,0.13502824858757057
2649167_1,2023-02-25 20:45:00,Lecce,Sassuolo,"H/D&P1,5",1.8585,0.7,0.5380683346785041,0.13502824858757057
2634364_1,2023-02-25 16:00:00,Everton,Aston Villa,"H/A&P1,5",1.848,0.7,0.5411255411255411,0.13181818181818172
2634435_1,2023-02-26 15:00:00,Clermont,Strasbourg,"H/A&P1,5",1.848,0.7,0.5411255411255411,0.13181818181818172
2649207_1,2023-02-27 18:30:00,Hellas Verone,Fiorentina,"H/A&M4,5",1.4595,0.8500000000000001,0.6851661527920521,0.13057553956834533
2634364_1,2023-02-25 16:00:00,Everton,Aston Villa,"H/A&M4,5",1.4595,0.8500000000000001,0.6851661527920521,0.13057553956834533
2659566_1,2023-02-25 13:00:00,Kaiserslautern,SpVgg Greuther Furth,H/D,1.4489999999999998,0.8500000000000001,0.6901311249137336,0.1253623188405797
2659751_1,2023-02-25 15:30:00,Werder Breme,Bochum,"H/A&M4,5",1.554,0.8,0.6435006435006435,0.12432432432432439
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,"H/A&P3,5",5.25,0.6,0.19047619047619047,0.39999999999999997
2672338_1,2023-02-25 21:00:00,NEC Nijmegen,FC Volendam,D,4.116,0.55,0.24295432458697766,0.2948979591836735
2675125_1,2023-02-27 19:00:00,Hapoel Be'er,Maccabi Raina,D,4.9350000000000005,0.5,0.20263424518743667,0.2872340425531915
2672290_1,2023-02-25 20:00:00,AZ Alkmaar,SC Cambuur,D/A,3.9375,0.55,0.25396825396825395,0.2833333333333334
2675125_1,2023-02-27 19:00:00,Hapoel Be'er,Maccabi Raina,D/A,3.2760000000000002,0.6,0.3052503052503052,0.2794871794871795
2632192_1,2023-02-26 17:00:00,FC Salzburg,SV Ried,"H/D&M2,5",2.6774999999999998,0.6666666666666666,0.3734827264239029,0.27450980392156854
2634362_1,2023-02-25 18:30:00,Bournemouth,Manchester City,"H/D&M3,5",4.41,0.5,0.22675736961451246,0.2619047619047619
2634362_1,2023-02-25 18:30:00,Bournemouth,Manchester City,H/D,3.6225000000000005,0.55,0.2760524499654934,0.2601449275362319
2662576_1,2023-02-25 18:00:00,Pas Giannina,PAOK Salonika,"H/D&P1,5",3.4859999999999998,0.55,0.2868617326448652,0.24879518072289158
2674986_1,2023-02-25 16:30:00,Sektzia Nes Tziona,Maccabi Tel-Aviv,H/D,3.444,0.55,0.29036004645760743,0.24512195121951225
2659566_1,2023-02-25 13:00:00,Kaiserslautern,SpVgg Greuther Furth,"H/D&P2,5",2.94,0.6,0.3401360544217687,0.24285714285714283
2649157_1,2023-02-25 16:15:00,Genes,SPAL,"D/A&M2,5",2.8875,0.6,0.3463203463203463,0.23636363636363633
2649192_1,2023-02-26 12:30:00,Bologna,Inter Milan,"H/D&P1,5",2.8560000000000003,0.6,0.35014005602240894,0.2323529411764706
2672297_1,2023-02-25 16:00:00,Aberdeen,Livingston,"H/A&P3,5",3.8325,0.5,0.2609262883235486,0.226027397260274
2648405_1,2023-02-25 21:00:00,Valence,Real Sociedad,A,2.457,0.65,0.407000407000407,0.22264957264957264
