IdGame,Date,"P3,5","P4,5","P5,5",Home,Away,Competition,A,D,H,H/D,D/A,H/A,"H/D&M1,5","H/D&M2,5","H/D&M3,5","H/D&M4,5","H/D&P1,5","H/D&P2,5","H/D&P3,5","H/D&P4,5","D/A&M1,5","D/A&M2,5","D/A&M3,5","D/A&M4,5","D/A&P1,5","D/A&P2,5","D/A&P3,5","D/A&P4,5","H/A&M1,5","H/A&M2,5","H/A&M3,5","H/A&M4,5","H/A&P1,5","H/A&P2,5","H/A&P3,5","H/A&P4,5",LDEM,LDEMP,H/D&LDEM,H/D&LDEMP,D/A&LDEM,D/A&LDEMP,H/A&LDEM,H/A&LDEMP,"M0,5","M1,5","M2,5","M3,5","M4,5","M5,5","P0,5","P1,5","P2,5"
2630878_1,21/02/2023,3.1,6.3,15.5,Ulsan Hyundai,Jeonbuk Motors,"Corée du Sud, K League 1",3.28,3.12,2.06,1.28,1.62,1.3,3.7,1.97,1.56,1.31,1.6,2.55,3.95,8.25,4.25,2.27,1.85,1.54,2.05,3.62,5.55,13.2,3.75,2.46,1.59,1.37,1.63,2.08,3.95,6.25,1.72,1.79,2.1,2.37,2.46,3.22,2.55,2.04,8.65,2.78,1.63,1.22,1.06,1.01,1.04,1.28,1.9
2630943_1,21/02/2023,3.02,6.85,17.5,FC Seoul,Incheon United,"Corée du Sud, K League 1",3.08,3.08,2.04,1.26,1.55,1.26,3.55,1.94,1.54,1.31,1.66,2.7,4.25,9.05,4.05,2.21,1.8,1.51,2.07,3.7,5.8,14.0,3.58,2.36,1.55,1.34,1.65,2.14,4.15,6.7,1.71,1.68,2.18,2.33,2.52,3.05,2.62,1.98,8.3,2.52,1.54,1.18,1.04,1.01,1.04,1.28,1.89
2630945_1,21/02/2023,3.12,7.4,19.2,Suwon Bluewings,Gwangju FC,"Corée du Sud, K League 1",3.12,3.08,2.02,1.26,1.56,1.26,3.4,1.89,1.51,1.29,1.68,2.75,4.4,9.55,3.88,2.17,1.78,1.51,2.14,3.92,6.2,15.2,3.45,2.29,1.52,1.33,1.68,2.19,4.35,7.1,1.76,1.63,2.23,2.24,2.6,2.98,2.7,1.94,7.9,2.43,1.5,1.16,1.04,1.01,1.04,1.3,1.95
2631132_1,21/02/2023,2.48,4.45,9.85,Bohemians 1905,Zbrojovka Brno,"République Tchèque, Synot League",3.45,3.32,1.69,1.2,1.73,1.21,4.4,2.21,1.65,1.34,1.43,2.05,3.0,5.55,5.55,2.8,2.25,1.8,2.13,3.6,5.3,11.8,4.3,2.75,1.67,1.4,1.45,1.79,3.05,4.65,1.58,1.9,1.91,2.42,2.55,4.2,2.19,2.11,12.0,3.18,1.84,1.32,1.1,1.02,1.02,1.18,1.62
2632525_1,21/02/2023,3.02,7.45,19.5,CD Trofense,FC Penafiel,"Portugal, Segunda Liga",2.1,2.98,2.88,1.45,1.29,1.25,3.75,2.08,1.7,1.44,2.0,3.6,5.65,13.5,3.48,1.92,1.55,1.32,1.74,2.92,4.65,10.5,3.48,2.33,1.54,1.34,1.71,2.23,4.45,7.25,1.74,1.66,2.46,2.8,2.25,2.38,2.72,1.98,7.7,2.37,1.47,1.15,1.03,1.01,1.04,1.29,1.92
2632566_1,21/02/2023,2.49,4.35,9.6,FC Nordsjaelland,Odense Boldklub,"Danemark, SuperLiga",3.88,3.68,1.67,1.19,1.94,1.18,4.35,2.21,1.64,1.33,1.4,1.97,2.9,5.25,5.75,2.95,2.36,1.88,2.24,3.82,5.65,12.8,4.3,2.72,1.65,1.38,1.42,1.75,2.95,4.5,1.61,1.9,1.9,2.33,2.68,4.45,2.17,2.07,12.5,3.28,1.88,1.34,1.11,1.03,1.02,1.18,1.62
2633171_1,21/02/2023,3.02,7.45,19.5,SCU Torreense,Academico de Viseu,"Portugal, Segunda Liga",2.26,2.95,2.65,1.41,,1.25,3.68,2.05,1.66,1.42,1.94,3.42,5.4,12.8,,,3.45,2.31,1.53,1.34,1.71,2.22,4.45,7.25,1.71,1.63,2.41,2.7,,,2.7,1.97,7.8,2.36,1.47,1.15,1.03,1.01,1.04,1.29,1.92,,,,,,
2634371_1,21/02/2023,3.1,6.65,16.2,Fulham FC,Wolverhampton Wanderers,"Angleterre, Premier League",,3.32,,1.3,,1.28,4.05,2.11,1.65,1.38,1.69,2.72,4.3,9.3,4.5,2.35,1.9,1.58,2.05,3.58,5.55,13.2,4.0,2.58,1.64,1.41,1.66,2.13,4.1,6.7,1.72,1.83,2.2,2.6,2.49,3.28,2.6,2.13,9.25,2.88,1.66,1.24,1.07,1.01,1.04,1.28,1.9
2634418_1,21/02/2023,2.47,4.3,9.35,Lille,Brest,"France, Ligue 1 UberEATS®",8.3,5.2,1.34,1.07,,1.12,4.3,2.18,1.54,1.25,1.25,1.69,2.52,4.35,,,4.65,2.7,1.66,1.35,1.33,1.65,2.65,4.2,1.93,1.69,2.04,1.79,,,2.42,1.77,14.2,3.72,2.02,1.4,1.14,1.04,1.02,1.18,1.6,,,,,,
2634454_1,21/02/2023,2.72,5.1,12.0,Fiorentina,Sporting Braga,Ligue Europa Conférence,4.4,3.92,1.73,1.19,1.94,1.22,4.4,2.2,1.63,1.33,1.44,2.09,3.18,6.05,5.9,2.98,2.42,1.95,2.43,4.3,6.5,15.5,4.4,2.75,1.67,1.4,1.49,1.87,3.28,5.2,1.69,1.89,2.16,2.52,3.18,5.15,2.58,2.26,12.5,3.45,1.86,1.33,1.11,1.03,1.03,1.22,1.71
2634729_1,21/02/2023,3.38,8.0,21.5,Nagoya Grampus,Kyoto Sanga FC,"Japon, J-League",3.4,3.08,1.92,1.25,1.62,1.28,3.22,1.81,1.45,1.26,1.66,2.72,4.45,9.65,3.82,2.18,1.81,1.54,2.29,4.4,7.0,18.2,3.35,2.22,1.5,1.31,1.7,2.25,4.5,7.5,1.82,1.59,2.26,2.1,2.75,3.02,2.82,1.89,7.5,2.42,1.49,1.16,1.04,1.01,1.05,1.34,2.05
2634730_1,21/02/2023,3.0,5.95,14.2,Gamba Osaka,Sagan Tosu,"Japon, J-League",3.05,3.2,2.13,1.31,1.58,1.28,3.88,2.05,1.61,1.35,1.63,2.58,3.95,8.2,4.3,2.29,1.85,1.53,1.96,3.35,5.1,11.8,3.82,2.5,1.6,1.37,1.6,2.03,3.8,6.0,1.69,1.83,2.1,2.5,2.38,3.18,2.46,2.07,9.2,2.85,1.66,1.24,1.07,1.01,1.04,1.26,1.86
