Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs
2023-02-11,Werder Bremen,0 - 2,Borussia Dortmund,0,2,2,Away,0,0,1,1,0,1,0,1
2023-01-28,Werder Bremen,2 - 1,VfL Wolfsburg,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-25,Werder Bremen,1 - 2,1. FC Union Berlin,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-12,Werder Bremen,1 - 2,RB Leipzig,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-05,Werder Bremen,2 - 1,Schalke 04,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-28,Werder Bremen,1 - 0,Hertha Berlin,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-15,Werder Bremen,0 - 2,Mainz,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-01,Werder Bremen,5 - 1,Borussia Monchengladbach,5,1,6,Home,0,1,0,0,1,1,1,0
2022-09-09,Werder Bremen,0 - 1,FC Augsburg,0,1,1,Away,0,0,1,1,0,1,0,1
2022-08-28,Werder Bremen,3 - 4,Eintracht Frankfurt,3,4,7,Away,0,0,1,1,0,1,1,0
2022-08-13,Werder Bremen,2 - 2,VfB Stuttgart,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-02-18,VfL Wolfsburg,0 - 3,RB Leipzig,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-05,VfL Wolfsburg,2 - 4,Bayern Munich,2,4,6,Away,0,0,1,1,0,1,1,0
2023-01-21,VfL Wolfsburg,6 - 0,SC Freiburg,6,0,6,Home,0,1,0,0,1,1,0,1
2022-11-08,VfL Wolfsburg,2 - 0,Borussia Dortmund,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-29,VfL Wolfsburg,4 - 0,VfL Bochum,4,0,4,Home,0,1,0,0,1,1,0,1
2022-10-15,VfL Wolfsburg,2 - 2,Borussia Monchengladbach,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-01,VfL Wolfsburg,3 - 2,VfB Stuttgart,3,2,5,Home,0,1,0,0,1,1,1,0
2022-09-03,VfL Wolfsburg,2 - 4,FC Cologne,2,4,6,Away,0,0,1,1,0,1,1,0
2022-08-20,VfL Wolfsburg,0 - 0,Schalke 04,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-06,VfL Wolfsburg,2 - 2,Werder Bremen,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-02-18,VfL Bochum,0 - 2,SC Freiburg,0,2,2,Away,0,0,1,1,0,1,0,1
2023-02-04,VfL Bochum,5 - 2,TSG Hoffenheim,5,2,7,Home,0,1,0,0,1,1,1,0
2023-01-21,VfL Bochum,3 - 1,Hertha Berlin,3,1,4,Home,0,1,0,0,1,1,1,0
2022-11-08,VfL Bochum,2 - 1,Borussia Monchengladbach,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-23,VfL Bochum,2 - 1,1. FC Union Berlin,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-08,VfL Bochum,3 - 0,Eintracht Frankfurt,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-18,VfL Bochum,1 - 1,FC Cologne,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-03,VfL Bochum,0 - 2,Werder Bremen,0,2,2,Away,0,0,1,1,0,1,0,1
2022-08-21,VfL Bochum,0 - 7,Bayern Munich,0,7,7,Away,0,0,1,1,0,1,0,1
2022-08-06,VfL Bochum,1 - 2,Mainz,1,2,3,Away,0,0,1,1,0,1,1,0
2023-02-18,VfB Stuttgart,3 - 0,FC Cologne,3,0,3,Home,0,1,0,0,1,1,0,1
2023-02-05,VfB Stuttgart,0 - 2,Werder Bremen,0,2,2,Away,0,0,1,1,0,1,0,1
2023-01-21,VfB Stuttgart,1 - 1,Mainz,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-08,VfB Stuttgart,2 - 1,Hertha Berlin,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-29,VfB Stuttgart,2 - 1,FC Augsburg,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-15,VfB Stuttgart,4 - 1,VfL Bochum,4,1,5,Home,0,1,0,0,1,1,1,0
2022-10-09,VfB Stuttgart,0 - 1,1. FC Union Berlin,0,1,1,Away,0,0,1,1,0,1,0,1
2022-09-17,VfB Stuttgart,1 - 3,Eintracht Frankfurt,1,3,4,Away,0,0,1,1,0,1,1,0
2022-09-03,VfB Stuttgart,1 - 1,Schalke 04,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-08-20,VfB Stuttgart,0 - 1,SC Freiburg,0,1,1,Away,0,0,1,1,0,1,0,1
2022-08-07,VfB Stuttgart,1 - 1,RB Leipzig,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-08-27,Valenciennes,2 - 2,Saint-Etienne,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-08-20,Valenciennes,0 - 0,US Quevilly,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-08-06,Valenciennes,1 - 0,Le Havre AC,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-18,Valenciennes,0 - 0,Rodez Aveyron,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-02-03,Valenciennes,3 - 1,Stade Laval,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-28,Valenciennes,1 - 1,Metz,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-01-10,Valenciennes,2 - 2,Annecy,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-12-26,Valenciennes,1 - 1,SC Amiens,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-05,Valenciennes,1 - 1,Caen,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-15,Valenciennes,1 - 0,Guingamp,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-01,Valenciennes,2 - 1,Sochaux,2,1,3,Home,0,1,0,0,1,1,1,0
2022-09-02,Valenciennes,3 - 2,Nimes,3,2,5,Home,0,1,0,0,1,1,1,0
2023-08-27,US Quevilly,2 - 1,Pau,2,1,3,Home,0,1,0,0,1,1,1,0
2023-08-15,US Quevilly,2 - 2,Saint-Etienne,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-07-30,US Quevilly,0 - 0,Rodez Aveyron,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-02-18,US Quevilly,0 - 0,Sochaux,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-02-03,US Quevilly,2 - 0,Guingamp,2,0,2,Home,0,1,0,0,1,1,0,1
2023-01-28,US Quevilly,3 - 1,Paris FC,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-10,US Quevilly,1 - 1,Bastia,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-12-26,US Quevilly,2 - 0,Grenoble,2,0,2,Home,0,1,0,0,1,1,0,1
2022-11-05,US Quevilly,0 - 1,Le Havre AC,0,1,1,Away,0,0,1,1,0,1,0,1
2022-10-08,US Quevilly,3 - 1,Nimes,3,1,4,Home,0,1,0,0,1,1,1,0
2022-09-17,US Quevilly,1 - 3,Stade Laval,1,3,4,Away,0,0,1,1,0,1,1,0
2022-09-02,US Quevilly,3 - 3,Niort,3,3,6,Draw,1,0,0,1,1,0,1,0
2023-08-28,Troyes,3 - 1,Angers,3,1,4,Home,0,1,0,0,1,1,1,0
2023-08-14,Troyes,0 - 3,Toulouse,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-19,Troyes,0 - 1,Montpellier,0,1,1,Away,0,0,1,1,0,1,0,1
2023-02-04,Troyes,1 - 3,Lyon,1,3,4,Away,0,0,1,1,0,1,1,0
2023-01-28,Troyes,1 - 1,Lens,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-01-11,Troyes,0 - 2,Marseille,0,2,2,Away,0,0,1,1,0,1,0,1
2022-12-28,Troyes,0 - 0,Nantes,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-11-04,Troyes,1 - 1,AJ Auxerre,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-23,Troyes,2 - 2,Lorient,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-16,Troyes,1 - 1,AC Ajaccio,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-02,Troyes,2 - 2,Stade de Reims,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-09-04,Troyes,1 - 1,Stade Rennais,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-08-31,Toulouse,0 - 3,Paris Saint-Germain ,0,3,3,Away,0,0,1,1,0,1,0,1
2023-08-21,Toulouse,2 - 2,Lorient,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-08-07,Toulouse,1 - 1,Nice,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-19,Toulouse,2 - 3,Marseille,2,3,5,Away,0,0,1,1,0,1,1,0
2023-02-12,Toulouse,3 - 1,Stade Rennais,3,1,4,Home,0,1,0,0,1,1,1,0
