Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs,DALDEMs,DHLDEMs,HALDEMs,DALDEMPs,DHLDEMPs,HALDEMPs
2023-02-06,Unión Magdalena,1 - 1,Envigado,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-06,Unión Magdalena,1 - 1,Envigado,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-25,Unión Magdalena,2 - 1,Atlético Huila,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-25,Unión Magdalena,2 - 1,Atlético Huila,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-25,Rionegro Águilas,1 - 0,Bucaramanga,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-25,Rionegro Águilas,1 - 0,Bucaramanga,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-07,Rionegro Águilas,4 - 2,Deportes Tolima,4,2,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-07,Rionegro Águilas,4 - 2,Deportes Tolima,4,2,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-25,Rionegro Águilas,1 - 1,Atlético Junior,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-25,Rionegro Águilas,1 - 1,Atlético Junior,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-26,Once Caldas,1 - 0,Millonarios,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-26,Once Caldas,1 - 0,Millonarios,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-12,Once Caldas,1 - 2,Rionegro Águilas,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-12,Once Caldas,1 - 2,Rionegro Águilas,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-01-31,Once Caldas,1 - 1,Deportes Tolima,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-31,Once Caldas,1 - 1,Deportes Tolima,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-19,Millonarios,2 - 1,Jaguares de Córdoba,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-19,Millonarios,2 - 1,Jaguares de Córdoba,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-19,La Equidad,0 - 1,Independiente Santa Fe,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-19,La Equidad,0 - 1,Independiente Santa Fe,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-16,La Equidad,2 - 1,Independiente Medellín,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-16,La Equidad,2 - 1,Independiente Medellín,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-26,Jaguares de Córdoba,2 - 0,Deportivo Pereira,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-26,Jaguares de Córdoba,2 - 0,Deportivo Pereira,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-11,Jaguares de Córdoba,1 - 1,Bucaramanga,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-11,Jaguares de Córdoba,1 - 1,Bucaramanga,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-04,Jaguares de Córdoba,2 - 1,Atlético Nacional,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Jaguares de Córdoba,2 - 1,Atlético Nacional,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-27,Jaguares de Córdoba,2 - 2,Independiente Santa Fe,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-27,Jaguares de Córdoba,2 - 2,Independiente Santa Fe,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-26,Independiente Santa Fe,0 - 0,Unión Magdalena,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0
2023-02-26,Independiente Santa Fe,0 - 0,Unión Magdalena,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0
2023-02-15,Independiente Santa Fe,0 - 2,Deportivo Pasto,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-15,Independiente Santa Fe,0 - 2,Deportivo Pasto,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-18,Independiente Medellín,0 - 1,América de Cali,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-18,Independiente Medellín,0 - 1,América de Cali,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-04,Independiente Medellín,1 - 1,Independiente Santa Fe,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-04,Independiente Medellín,1 - 1,Independiente Santa Fe,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-18,Envigado,0 - 0,Alianza Petrolera,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0
2023-02-18,Envigado,0 - 0,Alianza Petrolera,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0
2023-02-11,Envigado,2 - 1,Independiente Medellín,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-11,Envigado,2 - 1,Independiente Medellín,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-28,Envigado,1 - 1,La Equidad,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-28,Envigado,1 - 1,La Equidad,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-19,Deportivo Pereira,3 - 1,Once Caldas,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-19,Deportivo Pereira,3 - 1,Once Caldas,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Deportivo Pereira,2 - 1,Atlético Huila,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Deportivo Pereira,2 - 1,Atlético Huila,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-29,Deportivo Pereira,2 - 3,Millonarios,2,3,5,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-01-29,Deportivo Pereira,2 - 3,Millonarios,2,3,5,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-19,Deportivo Pasto,1 - 0,Atlético Junior,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-19,Deportivo Pasto,1 - 0,Atlético Junior,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-05,Deportivo Pasto,2 - 4,América de Cali,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-05,Deportivo Pasto,2 - 4,América de Cali,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
