IdGame,DateTime,Home,Away,Competition,A,D,H,H/D,D/A,H/A,"H/D&M1,5","H/D&M2,5","H/D&M3,5","H/D&M4,5","H/D&P1,5","H/D&P2,5","H/D&P3,5","H/D&P4,5","D/A&M1,5","D/A&M2,5","D/A&M3,5","D/A&M4,5","D/A&P1,5","D/A&P2,5","D/A&P3,5","D/A&P4,5","H/A&M1,5","H/A&M2,5","H/A&M3,5","H/A&M4,5","H/A&P1,5","H/A&P2,5","H/A&P3,5","H/A&P4,5",LDEM,LDEMP,H/D&LDEM,H/D&LDEMP,D/A&LDEM,D/A&LDEMP,H/A&LDEM,H/A&LDEMP,"M0,5","M1,5","M2,5","M3,5","M4,5","M5,5","P0,5","P1,5","P2,5","P3,5","P4,5","P5,5",Date
2652895_1,2023-02-24 17:00:00,FC U Craiova 1948,CS Mioveni,"Roumanie, Liga 1",4.7,3.12,1.65,1.14,1.91,1.24,2.92,1.68,1.34,1.18,1.53,2.47,4.05,8.5,4.0,2.33,1.99,1.69,2.8,6.1,9.65,28.5,3.3,2.16,1.48,1.29,1.68,2.26,4.45,7.6,2.01,1.53,2.26,1.78,3.22,3.42,3.02,1.77,6.9,2.38,1.46,1.15,1.03,1.01,1.06,1.35,2.1,3.45,8.35,22.5,23/02/2023
2659573_1,2023-02-24 18:30:00,Dusseldorf,Braunschweig,"Allemagne, Bundesliga 2",4.45,3.7,1.6,1.17,2.08,1.21,4.3,2.16,1.6,1.3,1.35,1.89,2.75,4.95,5.95,3.02,2.48,1.97,2.38,4.2,6.15,14.5,4.4,2.75,1.67,1.39,1.41,1.74,2.9,4.4,1.67,1.92,1.87,2.19,2.82,4.8,2.2,2.03,12.2,3.25,1.87,1.34,1.11,1.03,1.02,1.17,1.6,2.43,4.3,9.35,23/02/2023
2659571_1,2023-02-24 18:30:00,Karlsruhe,Jahn Regensburg,"Allemagne, Bundesliga 2",4.0,3.5,1.71,1.2,1.91,1.24,4.15,2.12,1.59,1.3,1.41,2.03,3.02,5.6,5.45,2.78,2.27,1.82,2.24,3.92,5.8,13.5,4.2,2.68,1.65,1.38,1.46,1.82,3.12,4.8,1.67,1.92,1.92,2.27,2.65,4.25,2.27,2.06,11.2,3.1,1.8,1.3,1.09,1.02,1.02,1.19,1.66,2.55,4.7,10.5,23/02/2023
2632566_1,2023-02-24 19:00:00,FC Nordsjaelland,Odense Boldklub,"Danemark, SuperLiga",4.1,3.7,1.65,1.2,1.99,1.2,4.1,2.12,1.58,1.3,1.41,2.03,3.05,5.6,5.45,2.85,2.31,1.87,2.34,4.1,6.15,14.2,4.05,2.58,1.61,1.35,1.45,1.8,3.12,4.8,1.66,1.82,1.96,2.21,2.78,4.3,2.26,1.99,11.8,3.12,1.81,1.3,1.1,1.02,1.02,1.2,1.67,2.62,4.75,10.8,23/02/2023
2632525_1,2023-02-24 19:00:00,CD Trofense,FC Penafiel,"Portugal, Segunda Liga",2.19,2.98,2.98,1.49,1.28,1.28,3.78,2.09,1.72,1.46,2.03,3.68,5.75,14.0,3.45,1.91,1.53,1.31,1.72,2.88,4.55,10.2,3.5,2.33,1.54,1.35,1.71,2.23,4.45,7.25,1.78,1.7,2.48,2.85,2.23,2.34,2.72,1.98,7.65,2.65,1.56,1.19,1.05,1.01,1.06,1.35,2.09,3.55,7.45,19.2,23/02/2023
2662572_1,2023-02-24 19:00:00,Volos NPS,Lamia FC,"Grèce, Super League",4.15,3.52,1.69,1.18,1.88,1.23,3.55,1.93,1.48,1.25,1.47,2.22,3.48,6.75,4.75,2.58,2.13,1.76,2.45,4.6,7.1,18.0,3.68,2.38,1.54,1.32,1.54,1.97,3.62,5.8,1.8,1.71,2.08,2.05,2.9,3.82,2.52,1.9,9.7,2.85,1.66,1.23,1.07,1.01,1.03,1.27,1.86,3.02,5.95,14.5,23/02/2023
2652896_1,2023-02-24 19:30:00,UTA Arad,Farul Constanta,"Roumanie, Liga 1",2.17,3.0,2.9,1.5,1.3,1.27,3.48,2.01,1.66,1.43,2.12,3.95,6.45,16.2,3.2,1.83,1.49,1.3,1.81,3.12,5.15,12.0,3.22,2.17,1.48,1.31,1.77,2.36,4.9,8.3,1.89,1.61,2.62,2.65,2.38,2.23,2.9,1.89,7.05,2.32,1.45,1.14,1.03,1.01,1.06,1.37,2.13,3.55,8.85,24.5,23/02/2023
2670306_1,2023-02-24 20:00:00,Sp. Rotterdam,FC Utrecht,"Pays-Bas, Eredivisie",2.55,3.25,2.49,1.45,1.45,1.29,4.35,2.25,1.77,1.45,1.73,2.75,4.15,8.75,4.35,2.25,1.78,1.46,1.73,2.78,4.15,8.8,4.05,2.62,1.64,1.4,1.57,1.96,3.58,5.55,1.67,1.99,2.15,2.95,2.15,2.95,2.34,2.15,10.0,3.12,1.76,1.29,1.09,1.02,1.04,1.25,1.81,2.92,5.35,12.5,23/02/2023
2659804_1,2023-02-24 20:30:00,LASK,A. Lustenau,"Autriche, Bundesliga",5.75,4.45,1.39,1.1,2.58,1.14,4.75,2.36,1.66,1.31,1.23,1.6,2.26,3.7,7.65,3.85,3.18,2.47,2.75,4.9,7.15,16.8,4.85,2.95,1.73,1.4,1.28,1.54,2.36,3.48,1.66,1.93,1.79,2.06,3.32,6.6,2.04,1.96,16.2,3.95,2.17,1.47,1.18,1.05,1.01,1.13,1.47,2.17,3.42,6.8,23/02/2023
2659744_1,2023-02-24 20:30:00,Mainz,M'gladbach,"Allemagne, Bundesliga",3.38,3.68,2.03,1.29,1.67,1.25,5.25,2.48,1.84,1.46,1.52,2.2,3.2,6.1,6.05,2.88,2.25,1.77,1.96,3.12,4.5,9.65,4.95,3.08,1.79,1.49,1.49,1.81,3.1,4.7,1.54,2.13,1.95,2.92,2.35,4.2,2.17,2.37,13.5,3.9,1.99,1.4,1.14,1.04,1.02,1.18,1.62,2.48,4.4,9.85,23/02/2023
