Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs
2023-02-25,Werder Bremen,3 - 0,VfL Bochum,3,0,3,Home,0,1,0,0,1,1,0,1
2023-02-25,Werder Bremen,3 - 0,VfL Bochum,3,0,3,Home,0,1,0,0,1,1,0,1
2023-02-11,Werder Bremen,0 - 2,Borussia Dortmund,0,2,2,Away,0,0,1,1,0,1,0,1
2023-02-11,Werder Bremen,0 - 2,Borussia Dortmund,0,2,2,Away,0,0,1,1,0,1,0,1
2023-01-28,Werder Bremen,2 - 1,VfL Wolfsburg,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-28,Werder Bremen,2 - 1,VfL Wolfsburg,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-25,Werder Bremen,1 - 2,1. FC Union Berlin,1,2,3,Away,0,0,1,1,0,1,1,0
2023-01-25,Werder Bremen,1 - 2,1. FC Union Berlin,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-12,Werder Bremen,1 - 2,RB Leipzig,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-12,Werder Bremen,1 - 2,RB Leipzig,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-05,Werder Bremen,2 - 1,Schalke 04,2,1,3,Home,0,1,0,0,1,1,1,0
2022-11-05,Werder Bremen,2 - 1,Schalke 04,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-28,Werder Bremen,1 - 0,Hertha Berlin,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-28,Werder Bremen,1 - 0,Hertha Berlin,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-15,Werder Bremen,0 - 2,Mainz,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-15,Werder Bremen,0 - 2,Mainz,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-01,Werder Bremen,5 - 1,Borussia Monchengladbach,5,1,6,Home,0,1,0,0,1,1,1,0
2022-10-01,Werder Bremen,5 - 1,Borussia Monchengladbach,5,1,6,Home,0,1,0,0,1,1,1,0
2022-09-09,Werder Bremen,0 - 1,FC Augsburg,0,1,1,Away,0,0,1,1,0,1,0,1
2022-09-09,Werder Bremen,0 - 1,FC Augsburg,0,1,1,Away,0,0,1,1,0,1,0,1
2022-08-28,Werder Bremen,3 - 4,Eintracht Frankfurt,3,4,7,Away,0,0,1,1,0,1,1,0
2022-08-28,Werder Bremen,3 - 4,Eintracht Frankfurt,3,4,7,Away,0,0,1,1,0,1,1,0
