Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs,DALDEMs,DHLDEMs,HALDEMs,DALDEMPs,DHLDEMPs,HALDEMPs,DateSort
2023-02-27,Hellas Verona,0 - 3,Fiorentina,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-27
2023-02-27,Hellas Verona,0 - 3,Fiorentina,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-27
2023-02-27,Lazio,1 - 0,Sampdoria,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-27
2023-02-27,Lazio,1 - 0,Sampdoria,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-27
2023-02-26,AC Milan,2 - 0,Atalanta,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-26,Bologna,1 - 0,Internazionale,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-26,Salernitana,3 - 0,Monza,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-26,Udinese,2 - 2,Spezia,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-26
2023-02-26,AC Milan,2 - 0,Atalanta,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-26,Bologna,1 - 0,Internazionale,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-26,Ascoli,0 - 0,Benevento,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-26
2023-02-26,Ascoli,0 - 0,Benevento,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-26
2023-02-26,Udinese,2 - 2,Spezia,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-26
2023-02-26,Salernitana,3 - 0,Monza,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-26
2023-02-25,Genoa,3 - 0,SPAL,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Lecce,0 - 1,Sassuolo,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Empoli,0 - 2,Napoli,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Venezia,0 - 0,Cagliari,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-25
2023-02-25,Lecce,0 - 1,Sassuolo,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Como,5 - 1,Cosenza,5,1,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Reggina,2 - 1,Modena,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Empoli,0 - 2,Napoli,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Ternana,1 - 2,Cittadella,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-25
2023-02-25,Ternana,1 - 2,Cittadella,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-25
2023-02-25,Venezia,0 - 0,Cagliari,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2023-02-25
2023-02-25,Brescia,0 - 2,Bari,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-25,Como,5 - 1,Cosenza,5,1,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Suditrol,1 - 1,Palermo,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-25
2023-02-25,Reggina,2 - 1,Modena,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-25
2023-02-25,Genoa,3 - 0,SPAL,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-25
2023-02-25,Suditrol,1 - 1,Palermo,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-25
2023-02-25,Brescia,0 - 2,Bari,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-25
2023-02-24,Frosinone,3 - 4,Parma,3,4,7,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-24
2023-02-24,Pisa,2 - 1,Perugia,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-24
2023-02-24,Frosinone,3 - 4,Parma,3,4,7,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-24
2023-02-24,Pisa,2 - 1,Perugia,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-24
2023-02-20,Torino,2 - 2,Cremonese,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-20
2023-02-20,Torino,2 - 2,Cremonese,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-20
2023-02-19,Salernitana,0 - 2,Lazio,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-19
2023-02-19,Salernitana,0 - 2,Lazio,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-19
2023-02-19,Spezia,0 - 2,Juventus,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-19
2023-02-19,Atalanta,1 - 2,Lecce,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-19
2023-02-19,Atalanta,1 - 2,Lecce,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-19
2023-02-19,Modena,2 - 2,Genoa,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-19
2023-02-19,Fiorentina,1 - 1,Empoli,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-19
2023-02-19,Spezia,0 - 2,Juventus,0,2,2,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-19
2023-02-19,Fiorentina,1 - 1,Empoli,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-19
2023-02-19,AS Roma,1 - 0,Hellas Verona,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-19
2023-02-19,Modena,2 - 2,Genoa,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-19
2023-02-19,AS Roma,1 - 0,Hellas Verona,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-19
2023-02-18,Perugia,3 - 0,Ternana,3,0,3,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1,2023-02-18
2023-02-18,Palermo,1 - 1,Frosinone,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0,2023-02-18
2023-02-18,Monza,0 - 1,AC Milan,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Parma,0 - 1,Ascoli,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2023-02-18
2023-02-18,Sampdoria,1 - 2,Bologna,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2023-02-18
2023-02-18,Internazionale,3 - 1,Udinese,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
2023-02-18,Cittadella,3 - 2,Reggina,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0,2023-02-18
