Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs,DALDEMs,DHLDEMs,HALDEMs,DALDEMPs,DHLDEMPs,HALDEMPs
2023-03-19,Macarthur FC,1 - 1,Melbourne City FC,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-03-19,Melbourne Victory,2 - 0,Central Coast Mariners,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-19,Melbourne Victory,2 - 0,Central Coast Mariners,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-19,Macarthur FC,1 - 1,Melbourne City FC,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-03-18,Sydney FC,0 - 4,Western Sydney Wanderers,0,4,4,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-03-18,Newcastle Jets,2 - 2,Perth Glory,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-03-18,Brisbane Roar,1 - 0,Western United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-18,Sydney FC,0 - 4,Western Sydney Wanderers,0,4,4,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-03-18,Brisbane Roar,1 - 0,Western United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-18,Newcastle Jets,2 - 2,Perth Glory,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-03-17,Adelaide United,5 - 1,Wellington Phoenix FC,5,1,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-17,Adelaide United,5 - 1,Wellington Phoenix FC,5,1,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-13,Melbourne Victory,1 - 2,Western United,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-03-13,Melbourne Victory,1 - 2,Western United,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-03-12,Wellington Phoenix FC,1 - 0,Sydney FC,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-12,Melbourne City FC,2 - 1,Brisbane Roar,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-12,Wellington Phoenix FC,1 - 0,Sydney FC,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-12,Melbourne City FC,2 - 1,Brisbane Roar,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-11,Newcastle Jets,2 - 4,Adelaide United,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-03-11,Central Coast Mariners,4 - 1,Macarthur FC,4,1,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-11,Central Coast Mariners,4 - 1,Macarthur FC,4,1,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-11,Newcastle Jets,2 - 4,Adelaide United,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-03-10,Perth Glory,1 - 0,Western Sydney Wanderers,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-10,Perth Glory,1 - 0,Western Sydney Wanderers,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-05,Macarthur FC,3 - 2,Brisbane Roar,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-05,Macarthur FC,3 - 2,Brisbane Roar,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-04,Wellington Phoenix FC,2 - 1,Newcastle Jets,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-04,Western Sydney Wanderers,2 - 0,Central Coast Mariners,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-04,Sydney FC,1 - 0,Melbourne Victory,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-04,Western Sydney Wanderers,2 - 0,Central Coast Mariners,2,0,2,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-04,Western United,2 - 1,Perth Glory,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-04,Wellington Phoenix FC,2 - 1,Newcastle Jets,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-04,Western United,2 - 1,Perth Glory,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-04,Sydney FC,1 - 0,Melbourne Victory,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-03-03,Adelaide United,4 - 2,Melbourne City FC,4,2,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-03-03,Adelaide United,4 - 2,Melbourne City FC,4,2,6,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-26,Brisbane Roar,2 - 1,Perth Glory,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-26,Melbourne Victory,1 - 1,Adelaide United,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-26,Melbourne Victory,1 - 1,Adelaide United,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-26,Brisbane Roar,2 - 1,Perth Glory,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-25,Melbourne City FC,3 - 2,Sydney FC,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-25,Newcastle Jets,1 - 3,Western United,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-25,Western Sydney Wanderers,4 - 0,Macarthur FC,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-25,Western Sydney Wanderers,4 - 0,Macarthur FC,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-25,Melbourne City FC,3 - 2,Sydney FC,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-25,Newcastle Jets,1 - 3,Western United,1,3,4,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-24,Central Coast Mariners,1 - 1,Wellington Phoenix FC,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-24,Central Coast Mariners,1 - 1,Wellington Phoenix FC,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-19,Adelaide United,4 - 4,Western Sydney Wanderers,4,4,8,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-19,Adelaide United,4 - 4,Western Sydney Wanderers,4,4,8,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-18,Perth Glory,2 - 2,Central Coast Mariners,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-18,Melbourne Victory,3 - 2,Melbourne City FC,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-18,Macarthur FC,0 - 1,Newcastle Jets,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-18,Macarthur FC,0 - 1,Newcastle Jets,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-18,Sydney FC,1 - 1,Brisbane Roar,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-18,Sydney FC,1 - 1,Brisbane Roar,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-18,Perth Glory,2 - 2,Central Coast Mariners,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-18,Melbourne Victory,3 - 2,Melbourne City FC,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-17,Western United,0 - 3,Wellington Phoenix FC,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-17,Western United,0 - 3,Wellington Phoenix FC,0,3,3,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-12,Macarthur FC,2 - 1,Wellington Phoenix FC,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-12,Newcastle Jets,2 - 1,Melbourne Victory,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-12,Newcastle Jets,2 - 1,Melbourne Victory,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-12,Macarthur FC,2 - 1,Wellington Phoenix FC,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-11,Perth Glory,2 - 4,Melbourne City FC,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-11,Perth Glory,2 - 4,Melbourne City FC,2,4,6,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-11,Western Sydney Wanderers,0 - 1,Sydney FC,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-11,Western United,2 - 3,Adelaide United,2,3,5,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-11,Western United,2 - 3,Adelaide United,2,3,5,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-11,Western Sydney Wanderers,0 - 1,Sydney FC,0,1,1,Away,0,0,1,1,0,1,0,1,0,0,0,1,0,1
2023-02-10,Brisbane Roar,1 - 2,Central Coast Mariners,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-10,Brisbane Roar,1 - 2,Central Coast Mariners,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-02-05,Western Sydney Wanderers,1 - 0,Western United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-05,Western Sydney Wanderers,1 - 0,Western United,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-02-04,Melbourne City FC,6 - 1,Macarthur FC,6,1,7,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Adelaide United,2 - 1,Brisbane Roar,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Sydney FC,3 - 2,Central Coast Mariners,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Sydney FC,3 - 2,Central Coast Mariners,3,2,5,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Adelaide United,2 - 1,Brisbane Roar,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Melbourne City FC,6 - 1,Macarthur FC,6,1,7,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-04,Perth Glory,2 - 2,Newcastle Jets,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-04,Perth Glory,2 - 2,Newcastle Jets,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-02-03,Melbourne Victory,3 - 1,Wellington Phoenix FC,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-02-03,Melbourne Victory,3 - 1,Wellington Phoenix FC,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-29,Melbourne City FC,3 - 3,Adelaide United,3,3,6,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-29,Melbourne City FC,3 - 3,Adelaide United,3,3,6,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-28,Macarthur FC,2 - 2,Western United,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-28,Wellington Phoenix FC,2 - 2,Perth Glory,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-28,Wellington Phoenix FC,2 - 2,Perth Glory,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-28,Macarthur FC,2 - 2,Western United,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-28,Central Coast Mariners,2 - 2,Western Sydney Wanderers,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-28,Central Coast Mariners,2 - 2,Western Sydney Wanderers,2,2,4,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-27,Newcastle Jets,4 - 0,Brisbane Roar,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-01-27,Newcastle Jets,4 - 0,Brisbane Roar,4,0,4,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
2023-01-26,Melbourne Victory,1 - 2,Sydney FC,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-01-26,Melbourne Victory,1 - 2,Sydney FC,1,2,3,Away,0,0,1,1,0,1,1,0,1,0,1,0,0,0
2023-01-22,Newcastle Jets,1 - 1,Western Sydney Wanderers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-22,Newcastle Jets,1 - 1,Western Sydney Wanderers,1,1,2,Draw,1,0,0,1,1,0,1,0,1,1,0,0,0,0
2023-01-22,Wellington Phoenix FC,2 - 1,Central Coast Mariners,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-22,Wellington Phoenix FC,2 - 1,Central Coast Mariners,2,1,3,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-21,Brisbane Roar,0 - 0,Melbourne City FC,0,0,0,Draw,1,0,0,1,1,0,0,1,0,0,0,1,1,0
2023-01-21,Perth Glory,3 - 1,Melbourne Victory,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-21,Perth Glory,3 - 1,Melbourne Victory,3,1,4,Home,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2023-01-21,Western United,1 - 0,Sydney FC,1,0,1,Home,0,1,0,0,1,1,0,1,0,0,0,0,1,1
