IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,n,DateD,Week
2634392_1,2023-03-11 13:30:00,Bournemouth,Liverpool,"H/D&M3,5",3.57,0.5416666666666667,0.2801120448179272,1.9337500000000003,24.0,2023-03-11,2023W10
2662048_1,2023-03-11 14:00:00,Real Madrid,Espanyol,D/A,3.72,0.5151515151515151,0.26881720430107525,1.9163636363636365,22.0,2023-03-11,2023W10
2662048_1,2023-03-11 14:00:00,Real Madrid,Espanyol,"D/A&M4,5",3.654,0.5151515151515151,0.27367268746579093,1.8823636363636362,22.0,2023-03-11,2023W10
2634392_1,2023-03-11 13:30:00,Bournemouth,Liverpool,H/D,2.75,0.6666666666666667,0.36363636363636365,1.8333333333333335,24.0,2023-03-11,2023W10
2701879_1,2023-03-11 16:30:00,Hapoel Jerusalem,Maccabi Raina,"D/A&P1,5",3.129,0.5833333333333333,0.31959092361776925,1.8252499999999998,24.0,2023-03-11,2023W10
2701879_1,2023-03-11 16:30:00,Hapoel Jerusalem,Maccabi Raina,D/A&LDEM,3.6225000000000005,0.5,0.2760524499654934,1.8112500000000005,24.0,2023-03-11,2023W10
2634380_1,2023-03-11 18:30:00,Crystal Palace,Manchester City,"H/D&M3,5",3.57,0.5,0.2801120448179272,1.785,26.0,2023-03-11,2023W10
2634392_1,2023-03-11 13:30:00,Bournemouth,Liverpool,"H/D&M4,5",2.8140000000000005,0.625,0.355366027007818,1.7587500000000003,24.0,2023-03-11,2023W10
2634380_1,2023-03-11 18:30:00,Crystal Palace,Manchester City,H/D,3.02,0.5769230769230769,0.33112582781456956,1.7423076923076921,26.0,2023-03-11,2023W10
2701879_1,2023-03-11 16:30:00,Hapoel Jerusalem,Maccabi Raina,D,3.45,0.5,0.2898550724637681,1.7249999999999999,24.0,2023-03-11,2023W10
2701878_1,2023-03-11 14:00:00,Hapoel Haifa,Maccabi Tel-Aviv,"H/D&M2,5",3.3390000000000004,0.5,0.2994908655286013,1.6695000000000002,24.0,2023-03-11,2023W10
2662014_1,2023-03-11 16:00:00,Reading,Millwall,H,3.2,0.5163398692810457,0.3125,1.6522875816993463,34.0,2023-03-11,2023W10
2701878_1,2023-03-11 14:00:00,Hapoel Haifa,Maccabi Tel-Aviv,"H/D&M3,5",2.7825,0.5833333333333333,0.35938903863432164,1.623125,24.0,2023-03-11,2023W10
2634380_1,2023-03-11 18:30:00,Crystal Palace,Manchester City,"H/D&M4,5",2.8875,0.5384615384615384,0.3463203463203463,1.5548076923076923,26.0,2023-03-11,2023W10
2662048_1,2023-03-11 14:00:00,Real Madrid,Espanyol,LDEM,2.07,0.7386363636363636,0.48309178743961356,1.5289772727272726,22.0,2023-03-11,2023W10
2660434_1,2023-03-11 21:30:00,Vizela,Braga,H/A&LDEMP,2.4045,0.6136363636363636,0.41588687876897484,1.4754886363636364,22.0,2023-03-11,2023W10
2645532_1,2023-03-11 18:00:00,Young Boys,FC Sion,D/A,2.88,0.5,0.3472222222222222,1.44,22.0,2023-03-11,2023W10
2701878_1,2023-03-11 14:00:00,Hapoel Haifa,Maccabi Tel-Aviv,"H/D&M4,5",2.2680000000000002,0.625,0.4409171075837742,1.4175,24.0,2023-03-11,2023W10
2634441_1,2023-03-11 15:30:00,Eintracht Frankfurt,Stuttgart,"H/D&P2,5",2.2155,0.6363636363636364,0.45136538027533285,1.4098636363636365,22.0,2023-03-11,2023W10
