n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"D/A&P4,5",18.375,0.0975,0.05442176870748299,1.7915625000000002,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"H/D&M1,5",4.179,0.385,0.2392916965781287,1.6089150000000003,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,D,3.15,0.485,0.31746031746031744,1.52775,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,H/A&LDEM,2.3100000000000005,0.6416666666666666,0.4329004329004328,1.4822500000000003,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"M0,5",8.0,0.185,0.125,1.48,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,H,1.6,0.865,0.625,1.384,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/A&P2,5",1.848,0.7424999999999999,0.5411255411255411,1.37214,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/A&M3,5",1.8165,0.755,0.5505092210294522,1.3714575,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"H/D&M2,5",2.289,0.585,0.436871996505024,1.339065,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"H/D&M3,5",1.8795000000000002,0.7,0.5320563979781856,1.3156500000000002,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"P2,5",1.6,0.8133333333333334,0.625,1.3013333333333335,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,LDEM,1.66,0.7833333333333333,0.6024096385542169,1.3003333333333331,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/D&P2,5",1.974,0.6566666666666666,0.5065856129685917,1.2962599999999997,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/D&M3,5",1.7115,0.755,0.5842827928717499,1.2921825,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"H/D&M4,5",1.596,0.8,0.6265664160401002,1.2768000000000002,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/A&P1,5",1.4909999999999999,0.8283333333333334,0.6706908115358821,1.235045,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,H/D&LDEM,2.604,0.47,0.38402457757296465,1.22388,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,H/D,1.52,0.8,0.6578947368421053,1.216,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,H,3.15,0.385,0.31746031746031744,1.21275,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"D/A&M2,5",2.0685000000000002,0.5700000000000001,0.48344210780759,1.1790450000000001,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"D/A&P3,5",7.455,0.15666666666666668,0.1341381623071764,1.16795,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"H/D&P2,5",4.074,0.28500000000000003,0.2454590083456063,1.16109,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/A&P4,5",4.7775,0.2425,0.20931449502878074,1.15854375,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/D&P1,5",1.4175000000000002,0.8133333333333334,0.7054673721340387,1.1529000000000003,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,H/D&LDEMP,2.9925,0.385,0.3341687552213868,1.1521125,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"D/A&P2,5",5.04,0.22749999999999998,0.1984126984126984,1.1466,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"P1,5",1.18,0.97,0.8474576271186441,1.1445999999999998,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/A&M4,5",1.4909999999999999,0.7675000000000001,0.6706908115358821,1.1443425,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,H/A,1.16,0.975,0.8620689655172414,1.131,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"H/A&M1,5",3.9060000000000006,0.28500000000000003,0.2560163850486431,1.1132100000000003,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"P4,5",4.5,0.2425,0.2222222222222222,1.09125,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"H/D&P1,5",2.2260000000000004,0.485,0.44923629829290196,1.0796100000000002,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"M2,5",1.54,0.7,0.6493506493506493,1.0779999999999998,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"H/D&M4,5",1.3755000000000002,0.78,0.7270083605961468,1.0728900000000001,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"M3,5",1.18,0.9,0.8474576271186441,1.0619999999999998,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"M3,5",1.37,0.7675000000000001,0.7299270072992701,1.0514750000000002,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"M4,5",1.05,1.0,0.9523809523809523,1.05,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"M1,5",2.58,0.4,0.38759689922480617,1.0320000000000003,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"D/A&M1,5",3.801,0.27,0.26308866087871613,1.02627,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,"P0,5",1.02,1.0,0.9803921568627451,1.02,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,"M5,5",1.01,1.0,0.9900990099009901,1.01,2026-02-15,2026W7
10,3364902_1,2026-02-15 20:45:00,Lyon,Nice,H/D,1.13,0.89,0.8849557522123894,1.0057,2026-02-15,2026W7
10,3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,LDEMP,1.71,0.585,0.5847953216374269,1.00035,2026-02-15,2026W7
