n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2765005_1,2023-05-07 19:00:00,Olympiakos,Panathinaikos,"H/D&P4,5",19.11,0.2,0.052328623757195186,3.822,2023-05-07,2023W18
10.0,2738932_1,2023-05-07 12:15:00,FC Emmen,FC Twente,"M0,5",13.0,0.25,0.07692307692307693,3.25,2023-05-07,2023W18
10.0,2794094_1,2023-05-07 19:00:00,Aris,AEK Athens,H,5.85,0.44999999999999996,0.17094017094017094,2.6325,2023-05-07,2023W18
10.0,2738984_1,2023-05-07 17:00:00,FC Salzburg,Rapid Vienna,"D/A&P4,5",17.01,0.15000000000000002,0.05878894767783656,2.5515000000000008,2023-05-07,2023W18
10.0,2794094_1,2023-05-07 19:00:00,Aris,AEK Athens,"H/D&P2,5",7.0875,0.35,0.14109347442680775,2.480625,2023-05-07,2023W18
10.0,2795444_1,2023-05-07 19:15:00,Hapoel Jerusalem,Maccabi Netanya,"H/D&P4,5",15.75,0.15,0.06349206349206349,2.3625,2023-05-07,2023W18
10.0,2765005_1,2023-05-07 19:00:00,Olympiakos,Panathinaikos,"H/D&P3,5",7.3500000000000005,0.3,0.13605442176870747,2.205,2023-05-07,2023W18
10.0,2774231_1,2023-05-07 15:00:00,Lorient,Brest,"M0,5",11.0,0.2,0.09090909090909091,2.2,2023-05-07,2023W18
10.0,2660230_1,2023-05-07 16:15:00,UD Ibiza,Albacete,"H/D&P4,5",24.150000000000002,0.09090909090909091,0.041407867494824016,2.1954545454545453,2023-05-07,2023W18
10.0,2738932_1,2023-05-07 12:15:00,FC Emmen,FC Twente,"H/D&M1,5",6.2475000000000005,0.35,0.16006402561024408,2.1866250000000003,2023-05-07,2023W18
10.0,2738932_1,2023-05-07 12:15:00,FC Emmen,FC Twente,H/D&LDEMP,4.83,0.45,0.20703933747412007,2.1735,2023-05-07,2023W18
10.0,2765005_1,2023-05-07 19:00:00,Olympiakos,Panathinaikos,"P5,5",20.5,0.1,0.04878048780487805,2.05,2023-05-07,2023W18
10.0,2780914_1,2023-05-07 17:30:00,Dortmund,Wolfsbourg,D/A&LDEMP,8.0325,0.25,0.12449424214130095,2.008125,2023-05-07,2023W18
