n,IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD,Week
10.0,2729068_1,2023-05-27 15:30:00,Cologne,Bayern Munich,"M0,5",40.0,0.1,0.025,4.0,2023-05-27,2023W21
10.0,2774252_1,2023-05-28 14:30:00,Feyenoord Rotterdam,Vitesse,"D/A&P3,5",12.39,0.2772727272727273,0.08071025020177562,3.4354090909090913,2023-05-28,2023W21
10.0,2818011_1,2023-05-27 21:00:00,Lyon,Reims,"M0,5",15.2,0.2,0.06578947368421052,3.0400000000000005,2023-05-27,2023W21
10.0,2772572_1,2023-05-27 15:30:00,RB Leipzig,Schalke 04,"M0,5",30.0,0.1,0.03333333333333333,3.0,2023-05-27,2023W21
10.0,2793600_1,2023-05-27 21:00:00,Lille,Nantes,"M0,5",14.0,0.2,0.07142857142857142,2.8000000000000003,2023-05-27,2023W21
10.0,2797826_1,2023-05-27 15:00:00,Juventus,Milan AC,"P5,5",18.2,0.15,0.054945054945054944,2.73,2023-05-27,2023W21
10.0,2818011_1,2023-05-27 21:00:00,Lyon,Reims,"D/A&M1,5",7.612500000000001,0.35,0.13136288998357962,2.664375,2023-05-27,2023W21
10.0,2772573_1,2023-05-27 15:30:00,Union Berlin,Werder Breme,"P5,5",12.8,0.2,0.078125,2.56,2023-05-27,2023W21
10.0,2797825_1,2023-05-27 15:00:00,Lazio,Cremonese,"D/A&P3,5",12.81,0.19090909090909092,0.078064012490242,2.4455454545454547,2023-05-27,2023W21
10.0,2772572_1,2023-05-27 15:30:00,RB Leipzig,Schalke 04,D/A&LDEMP,12.075000000000001,0.2,0.08281573498964803,2.415,2023-05-27,2023W21
10.0,2818011_1,2023-05-27 21:00:00,Lyon,Reims,D/A&LDEMP,5.932500000000001,0.4,0.16856300042140748,2.373,2023-05-27,2023W21
10.0,2774252_1,2023-05-28 14:30:00,Feyenoord Rotterdam,Vitesse,"D/A&P2,5",8.2425,0.2772727272727273,0.12132241431604489,2.285420454545455,2023-05-28,2023W21
10.0,2797802_1,2023-05-22 20:45:00,Empoli,Juventus,H,5.05,0.45,0.19801980198019803,2.2725,2023-05-22,2023W21
10.0,2793600_1,2023-05-27 21:00:00,Lille,Nantes,D/A&LDEMP,7.5075,0.3,0.1332001332001332,2.25225,2023-05-27,2023W21
10.0,2694117_1,2023-05-23 22:00:00,Valladolid,Barcelona,"H/A&M1,5",5.7225,0.37727272727272726,0.17474879860200962,2.1589431818181817,2023-05-23,2023W21
10.0,2774250_1,2023-05-28 14:30:00,SC Cambuur,RKC Waalwijk,"M0,5",21.5,0.1,0.046511627906976744,2.1500000000000004,2023-05-28,2023W21
10.0,2774256_1,2023-05-28 14:30:00,FC Twente,Ajax Amsterdam,H/D&LDEMP,6.09,0.35,0.16420361247947454,2.1315,2023-05-28,2023W21
10.0,2793600_1,2023-05-27 21:00:00,Lille,Nantes,"D/A&P4,5",42.0,0.05,0.023809523809523808,2.1,2023-05-27,2023W21
10.0,2818011_1,2023-05-27 21:00:00,Lyon,Reims,"D/A&M3,5",2.919,0.7,0.34258307639602603,2.0433,2023-05-27,2023W21
10.0,2797824_1,2023-05-27 15:00:00,Inter Milan,Atalanta,"H/A&M1,5",5.0925,0.4,0.19636720667648502,2.0370000000000004,2023-05-27,2023W21
10.0,2694113_1,2023-05-25 19:30:00,Majorque,Valence,H,2.88,0.7,0.3472222222222222,2.016,2023-05-25,2023W21
10.0,2818011_1,2023-05-27 21:00:00,Lyon,Reims,"D/A&M2,5",3.654,0.55,0.27367268746579093,2.0097,2023-05-27,2023W21
10.0,2694117_1,2023-05-23 22:00:00,Valladolid,Barcelona,"M1,5",4.25,0.4727272727272727,0.23529411764705882,2.0090909090909093,2023-05-23,2023W21
10.0,2694113_1,2023-05-25 19:30:00,Majorque,Valence,"P5,5",40.0,0.05,0.025,2.0,2023-05-25,2023W21
10.0,2694117_1,2023-05-23 22:00:00,Valladolid,Barcelona,"D/A&M1,5",5.88,0.32727272727272727,0.17006802721088435,1.9243636363636365,2023-05-23,2023W21
10.0,2772577_1,2023-05-27 15:30:00,Bochum,Bayer Leverkusen,"M0,5",19.2,0.1,0.052083333333333336,1.92,2023-05-27,2023W21
10.0,2729068_1,2023-05-27 15:30:00,Cologne,Bayern Munich,H,6.4,0.3,0.15625,1.92,2023-05-27,2023W21
10.0,2772574_1,2023-05-27 15:30:00,Borussia Monchengladbach,Augsbourg,"M0,5",19.2,0.1,0.052083333333333336,1.92,2023-05-27,2023W21
