IdGame,DateTime,Home,Away,Competition,A,D,H,H/D,D/A,H/A,"H/D&M1,5","H/D&M2,5","H/D&M3,5","H/D&M4,5","H/D&P1,5","H/D&P2,5","H/D&P3,5","H/D&P4,5","D/A&M1,5","D/A&M2,5","D/A&M3,5","D/A&M4,5","D/A&P1,5","D/A&P2,5","D/A&P3,5","D/A&P4,5","H/A&M1,5","H/A&M2,5","H/A&M3,5","H/A&M4,5","H/A&P1,5","H/A&P2,5","H/A&P3,5","H/A&P4,5",LDEM,LDEMP,H/D&LDEM,H/D&LDEMP,D/A&LDEM,D/A&LDEMP,H/A&LDEM,H/A&LDEMP,"M0,5","M1,5","M2,5","M3,5","M4,5","M5,5","P0,5","P1,5","P2,5","P3,5","P4,5","P5,5"
3368697_1,2026-02-14 14:00:00,Grenoble,Reims,Ligue 2 BKT®,1.81,3.48,4.4,,1.18,,,,,,,,,,3.78,1.98,1.53,1.28,1.52,2.35,3.68,7.55,,,,,,,,,1.74,1.73,,,2.11,2.19,,,9.0,2.98,1.68,1.25,1.07,1.02,1.05,1.28,1.9,3.12,6.45,16.2
3368847_1,2026-02-14 14:00:00,Montpellier,Le Mans,Ligue 2 BKT®,3.28,3.08,2.27,1.29,1.51,,3.45,1.9,1.54,1.33,1.8,3.12,5.1,12.2,3.78,2.09,1.74,1.49,2.15,4.05,6.55,17.2,3.62,2.4,1.59,1.39,1.83,2.42,5.05,8.7,1.83,1.66,2.35,2.36,2.62,2.88,,,7.15,2.55,1.51,1.18,1.04,1.01,1.07,1.38,2.18,3.72,8.9,24.5
3364905_1,2026-02-14 17:00:00,Marseille,Strasbourg,Ligue 1 McDonald's®,3.98,4.05,1.85,1.21,1.86,1.2,5.4,2.55,1.84,1.44,1.41,1.94,2.78,4.95,6.9,3.28,2.58,2.0,2.16,3.45,4.95,10.5,5.3,3.22,1.83,1.5,1.41,1.7,2.78,4.15,1.51,2.1,1.8,2.6,2.45,4.75,2.0,2.25,15.5,4.05,2.08,1.44,1.16,1.05,1.02,1.15,1.51,2.25,3.9,8.05
3364903_1,2026-02-14 19:00:00,Lille,Brest,Ligue 1 McDonald's®,5.75,4.25,1.59,1.12,,1.18,3.92,2.04,1.51,1.26,1.39,2.01,3.1,5.85,,,,,,,,,4.2,2.58,1.62,1.36,1.48,1.87,3.3,5.35,1.81,1.7,2.0,1.91,3.28,4.65,2.42,1.84,11.2,3.12,1.78,1.29,1.09,1.02,1.03,1.23,1.73,2.75,5.45,12.8
3368851_1,2026-02-14 20:00:00,Guingamp,Saint-Etienne,Ligue 2 BKT®,2.75,3.55,2.36,1.39,1.47,1.24,4.9,2.44,1.87,1.51,1.72,2.65,3.98,8.2,5.05,2.52,1.95,1.58,1.81,2.88,4.3,9.05,4.55,2.88,1.72,1.45,1.55,1.93,3.48,5.4,1.56,1.96,2.15,3.12,2.24,3.35,2.3,2.29,11.5,3.45,1.85,1.33,1.11,1.03,1.03,1.22,1.72,2.72,5.15,12.0
3364914_1,2026-02-14 21:05:00,Paris FC,Racing Club De Lens,Ligue 1 McDonald's®,1.94,3.65,4.0,1.77,1.21,1.23,,,,,,,,,4.45,2.21,1.67,1.36,1.49,2.2,3.3,6.45,4.55,2.85,1.72,1.44,1.53,1.91,3.4,5.3,1.62,1.91,2.52,4.0,1.93,2.38,2.27,2.11,11.5,3.28,1.81,1.31,1.1,1.02,1.03,1.21,1.7,2.65,5.15,11.5
3364918_1,2026-02-15 15:00:00,Le Havre,Toulouse,Ligue 1 McDonald's®,2.3,3.15,3.15,1.52,1.3,1.26,4.0,2.18,1.79,1.52,2.12,3.88,6.2,15.5,3.62,1.97,1.58,1.35,1.77,3.0,4.85,11.2,3.72,2.44,1.59,1.39,1.76,2.31,4.7,7.9,1.8,1.71,2.49,2.85,2.23,2.33,2.72,1.99,8.05,2.58,1.54,1.18,1.05,1.01,1.05,1.33,2.04,3.38,8.05,21.0
3364920_1,2026-02-15 17:15:00,Lorient,Angers,Ligue 1 McDonald's®,4.35,3.2,1.9,1.17,1.77,1.24,3.28,1.81,1.44,1.24,1.61,2.65,4.35,9.5,4.2,2.35,1.98,1.69,2.58,5.25,8.4,24.0,3.65,2.37,1.57,1.37,1.75,2.32,4.65,8.05,1.9,1.63,2.18,1.96,2.88,3.28,2.88,1.88,7.6,2.52,1.52,1.17,1.04,1.01,1.06,1.34,2.08,3.48,8.45,22.5
3364921_1,2026-02-15 17:15:00,Metz,Auxerre,Ligue 1 McDonald's®,2.6,3.0,2.85,1.42,1.36,1.28,3.95,2.1,1.71,1.45,1.92,3.4,5.35,13.0,3.85,2.04,1.65,1.4,1.83,3.18,4.95,11.8,3.9,2.55,1.65,1.43,1.77,2.31,4.65,7.7,1.74,1.77,2.29,2.72,2.22,2.58,2.68,2.07,8.0,2.65,1.56,1.2,1.05,1.01,1.05,1.31,2.0,3.28,7.65,19.2
3364902_1,2026-02-15 20:45:00,Lyon,Nice,Ligue 1 McDonald's®,5.25,4.1,1.6,1.13,2.17,1.16,4.55,2.25,1.63,1.31,1.35,1.88,2.78,5.05,6.6,3.32,2.72,2.18,2.65,4.8,7.1,17.5,4.75,2.88,1.73,1.42,1.42,1.76,2.95,4.55,1.66,1.86,1.87,2.11,2.98,5.1,2.2,1.99,13.2,3.62,1.94,1.37,1.13,1.03,1.02,1.18,1.6,2.45,4.5,9.75
3369818_1,2026-02-16 20:45:00,Bastia,Troyes,Ligue 2 BKT®,2.9,2.98,2.39,1.31,1.45,1.24,3.4,1.91,1.55,1.35,1.89,3.38,5.6,13.8,3.6,2.03,1.68,1.45,2.12,3.98,6.55,17.0,3.48,2.32,1.56,1.38,1.85,2.48,5.3,9.2,1.81,1.59,2.46,2.39,2.62,2.7,3.05,2.01,7.0,2.42,1.43,1.13,1.03,1.01,1.05,1.35,2.08,3.38,9.55,27.0
3372451_1,2026-02-20 20:00:00,Dunkerque,Bastia,Ligue 2 BKT®,3.85,3.25,1.74,1.15,1.56,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372450_1,2026-02-20 20:00:00,Nancy,Grenoble,Ligue 2 BKT®,2.98,3.02,2.12,1.23,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372353_1,2026-02-20 20:00:00,Boulogne,Clermont,Ligue 2 BKT®,2.82,2.98,2.23,,1.48,,,,,,,,,,4.25,2.24,1.81,1.52,2.0,3.5,5.45,13.0,,,,,,,,,1.66,1.73,,,2.45,3.08,,,8.5,2.82,1.56,1.19,1.05,1.01,1.04,1.26,1.86,2.92,7.05,18.2
3372351_1,2026-02-20 20:00:00,FC Annecy,Red Star FC,Ligue 2 BKT®,2.68,2.82,2.42,1.34,1.41,1.25,,,,,,,,,,,,,,,,,,,,,,,,,1.72,1.67,2.37,2.6,2.44,2.75,2.88,2.1,7.5,2.6,1.48,1.16,1.04,1.01,1.05,1.3,1.98,3.15,8.25,22.0
3372449_1,2026-02-20 20:00:00,Rodez,Montpellier,Ligue 2 BKT®,2.48,3.08,2.43,1.3,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369063_1,2026-02-20 20:45:00,Brest,Marseille,Ligue 1 McDonald's®,1.78,3.52,3.65,1.81,1.21,1.18,,,,,,,,,4.9,2.37,1.75,1.4,1.45,2.07,3.05,5.7,4.9,3.02,1.77,1.47,1.47,1.81,3.08,4.7,1.54,1.96,2.47,4.3,1.87,2.5,2.13,2.18,12.8,3.62,1.9,1.35,1.12,1.03,1.02,1.17,1.58,2.38,4.5,9.7
3369062_1,2026-02-21 17:00:00,Racing Club De Lens,Monaco,Ligue 1 McDonald's®,3.3,3.62,1.85,1.25,1.74,,5.9,2.72,1.96,1.51,1.44,1.97,2.75,4.95,7.1,3.28,2.52,1.94,1.98,3.02,4.25,8.65,,,,,,,,,1.43,2.17,1.79,2.9,2.26,4.65,,,16.0,4.35,2.12,1.46,1.17,1.05,1.01,1.12,1.45,2.1,3.62,7.3
3369060_1,2026-02-21 19:00:00,Toulouse,Paris FC,Ligue 1 McDonald's®,3.82,3.15,1.85,1.2,1.74,1.21,3.4,1.87,1.47,1.27,1.62,2.65,4.35,9.45,,,,,,,,,,,,,,,,,1.83,1.63,2.18,2.04,2.82,3.25,2.78,1.9,7.8,2.52,1.52,1.17,1.04,1.01,1.05,1.32,1.99,3.25,8.05,21.0
3369059_1,2026-02-21 21:05:00,Paris SG,Metz,Ligue 1 McDonald's®,13.0,7.45,1.1,1.01,5.25,1.03,6.75,3.28,2.08,1.5,1.07,1.23,1.56,2.21,15.2,8.3,7.5,5.8,4.85,9.9,14.8,35.0,7.3,4.0,2.21,1.6,1.1,1.23,1.6,2.19,1.71,1.73,1.72,1.71,6.45,16.5,1.86,1.71,35.0,8.1,3.08,1.96,1.43,1.18,1.01,1.04,1.2,1.54,2.17,3.58
3369058_1,2026-02-22 15:00:00,Auxerre,Rennes,Ligue 1 McDonald's®,2.17,3.18,2.75,,,,4.9,2.46,1.94,1.58,1.89,3.1,4.65,10.2,4.55,2.3,1.78,1.46,1.69,2.65,3.98,8.35,,,,,,,,,1.58,1.89,2.23,3.22,2.06,2.78,,,10.2,2.98,1.7,1.26,1.07,1.02,1.02,1.2,1.69,2.6,5.55,12.8
