IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD
2632192_1,2023-02-26 17:00:00,FC Salzburg,SV Ried,"H/D&M4,5",1.3755000000000002,0.9444444444444444,0.7270083605961468,0.2174360838482976,2023-02-26
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,H/A,1.3545,0.95,0.7382798080472499,0.21172019195275005,2023-02-26
2634223_1,2023-02-26 16:30:00,Servette,Winterthur,H/D,1.2495,0.95,0.8003201280512204,0.14967987194877952,2023-02-26
2634430_1,2023-02-26 20:45:00,Marseille,Paris SG,H/A,1.2915,0.9,0.7742934572202864,0.1257065427797136,2023-02-26
2648401_1,2023-02-26 18:30:00,Almeria,Barcelona,H/A,1.2075,0.95,0.8281573498964803,0.12184265010351969,2023-02-26
2673568_1,2023-02-26 16:45:00,PSV Eindhoven,FC Twente,H/D,1.218,0.9,0.8210180623973727,0.07898193760262728,2023-02-26
2673430_1,2023-02-26 17:00:00,Besiktas,Alanyaspor,H/D,1.2075,0.9,0.8281573498964803,0.07184265010351976,2023-02-26
2648415_1,2023-02-26 16:15:00,Levante,Lugo,H/D,1.1130000000000002,0.95,0.8984725965858039,0.05152740341419604,2023-02-26
2668703_1,2023-02-26 21:30:00,FC Porto,Gil Vicente,H/A,1.1130000000000002,0.95,0.8984725965858039,0.05152740341419604,2023-02-26
2632192_1,2023-02-26 17:00:00,FC Salzburg,SV Ried,"H/D&M3,5",1.7955,0.8888888888888888,0.556947925368978,0.33194096351991087,2023-02-26
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,"H/A&P2,5",2.52,0.7,0.3968253968253968,0.30317460317460315,2023-02-26
2634427_1,2023-02-26 15:00:00,AC Ajaccio,Troyes,"H/A&P1,5",1.9005,0.8,0.5261773217574323,0.2738226782425678,2023-02-26
2634436_1,2023-02-26 15:00:00,Nantes,Rennes,H/D,1.7115,0.8500000000000001,0.5842827928717499,0.2657172071282502,2023-02-26
2634417_1,2023-02-26 15:00:00,Reims,Toulouse,"H/A&P2,5",1.9320000000000002,0.75,0.5175983436853001,0.2324016563146999,2023-02-26
2634436_1,2023-02-26 15:00:00,Nantes,Rennes,"H/D&M4,5",1.6800000000000002,0.8,0.5952380952380952,0.2047619047619048,2023-02-26
2662660_1,2023-02-26 13:30:00,Club Brugge,KAA Gent,"H/D&P1,5",1.6380000000000001,0.8,0.6105006105006104,0.1894993894993896,2023-02-26
2648415_1,2023-02-26 16:15:00,Levante,Lugo,"H/D&M2,5",1.7535,0.75,0.570287995437696,0.17971200456230396,2023-02-26
2673959_1,2023-02-26 14:00:00,AC Horsens,Viborg FF,H/D,1.827,0.7222222222222222,0.5473453749315819,0.17487684729064035,2023-02-26
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,"H/D&M2,5",1.8900000000000001,0.7,0.5291005291005291,0.17089947089947088,2023-02-26
2634435_1,2023-02-26 15:00:00,Clermont,Strasbourg,"H/A&P1,5",1.848,0.7,0.5411255411255411,0.15887445887445883,2023-02-26
2662584_1,2023-02-26 18:30:00,Aris Thessaloniki,Atromitos,"H/A&M3,5",1.554,0.8,0.6435006435006435,0.15649935649935653,2023-02-26
2648412_1,2023-02-26 16:15:00,Real Zaragoza,Burgos,D/A,1.8165,0.7,0.5505092210294522,0.14949077897054774,2023-02-26
2634430_1,2023-02-26 20:45:00,Marseille,Paris SG,"H/A&P2,5",1.785,0.7,0.5602240896358543,0.1397759103641456,2023-02-26
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,"H/D&M3,5",1.5015,0.8,0.666000666000666,0.13399933399933406,2023-02-26
2648401_1,2023-02-26 18:30:00,Almeria,Barcelona,"H/A&M4,5",1.5015,0.8,0.666000666000666,0.13399933399933406,2023-02-26
2632091_1,2023-02-26 14:30:00,SCR Altach,WSG Swarovski Tirol,H/A,1.302,0.8888888888888888,0.7680491551459293,0.12083973374295953,2023-02-26
2668610_1,2023-02-26 19:00:00,Paços de Ferreira,Boavista FC,"H/A&M4,5",1.47,0.8,0.6802721088435374,0.11972789115646265,2023-02-26
2634223_1,2023-02-26 16:30:00,Servette,Winterthur,"H/D&M4,5",1.3650000000000002,0.8500000000000001,0.7326007326007324,0.11739926739926765,2023-02-26
2634417_1,2023-02-26 15:00:00,Reims,Toulouse,"H/A&P1,5",1.5750000000000002,0.75,0.6349206349206349,0.11507936507936511,2023-02-26
2668610_1,2023-02-26 19:00:00,Paços de Ferreira,Boavista FC,H/A,1.3545,0.8500000000000001,0.7382798080472499,0.11172019195275018,2023-02-26
2668610_1,2023-02-26 19:00:00,Paços de Ferreira,Boavista FC,"H/A&M3,5",1.6905000000000001,0.7,0.5915409642117716,0.10845903578822835,2023-02-26
2662665_1,2023-02-26 19:15:00,Royal Charleroi SC,Sint-Truidense,D/A,1.6695000000000002,0.7,0.5989817310572026,0.1010182689427973,2023-02-26
2634439_1,2023-02-26 15:30:00,Fribourg,Bayer Leverkusen,H/A,1.3230000000000002,0.8500000000000001,0.7558578987150415,0.09414210128495859,2023-02-26
2649192_1,2023-02-26 12:30:00,Bologna,Inter Milan,"H/A&P1,5",1.6485,0.7,0.6066120715802245,0.0933879284197755,2023-02-26
2653480_1,2023-02-26 14:00:00,Umraniyespor,Adana Demirspor,"D/A&M4,5",1.6485,0.7,0.6066120715802245,0.0933879284197755,2023-02-26
2634430_1,2023-02-26 20:45:00,Marseille,Paris SG,"H/A&M4,5",1.6380000000000001,0.7,0.6105006105006104,0.08949938949938951,2023-02-26
2675071_1,2023-02-26 19:15:00,Hapoel Jerusalem,Hapoel Haifa,D/A,1.512,0.75,0.6613756613756614,0.0886243386243386,2023-02-26
2634439_1,2023-02-26 15:30:00,Fribourg,Bayer Leverkusen,"H/A&P1,5",1.6275000000000002,0.7,0.6144393241167434,0.08556067588325655,2023-02-26
2673408_1,2023-02-26 14:30:00,FC Emmen,Go Ahead Eagles,H/D,1.3965,0.8,0.7160759040458288,0.08392409595417127,2023-02-26
2652892_1,2023-02-26 16:45:00,Voluntari,Universitatea Craiova,"D/A&M3,5",1.4909999999999999,0.75,0.6706908115358821,0.07930918846411794,2023-02-26
2662584_1,2023-02-26 18:30:00,Aris Thessaloniki,Atromitos,"H/D&M3,5",1.3860000000000001,0.8,0.7215007215007214,0.07849927849927862,2023-02-26
