Place,Team,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER
Home,BostonCeltics,5,,,106.0,12.2,30.6,42.8,20.0,8.0,6.0,15.6,16.0,1.3,
Away,BostonCeltics,8,,,109.1,9.8,38.4,48.1,24.0,8.3,6.5,13.6,20.9,1.8,
Home,BrooklynNets,6,,,105.2,6.5,39.0,45.5,24.3,7.7,5.8,15.3,20.0,1.6,
Away,BrooklynNets,8,,,111.0,7.5,36.6,44.1,25.6,5.8,4.8,13.6,17.3,1.9,
Home,New YorkKnicks,6,,,111.2,9.5,34.3,43.8,21.8,7.5,7.7,12.8,17.5,1.7,
Away,New YorkKnicks,7,,,108.3,12.0,35.9,47.9,21.9,7.6,4.9,13.1,19.6,1.7,
Home,Philadelphia76ers,8,,,108.9,7.8,32.1,39.9,23.9,8.5,6.9,11.4,18.8,2.1,
Away,Philadelphia76ers,6,,,111.2,11.5,33.5,45.0,22.2,7.8,4.7,13.0,17.2,1.7,
Home,TorontoRaptors,8,,,104.9,13.8,30.0,43.8,20.3,10.4,4.3,12.1,20.0,1.7,
Away,TorontoRaptors,6,,,106.2,13.0,34.7,47.7,21.0,10.7,4.7,12.2,18.0,1.7,
Home,Golden StateWarriors,9,,,116.4,10.2,38.6,48.8,29.7,11.1,4.8,16.1,19.7,1.8,
Away,Golden StateWarriors,4,,,112.0,10.3,36.8,47.0,29.3,9.5,5.0,13.3,17.0,2.2,
Home,LAClippers,9,,,108.4,9.2,36.4,45.7,24.1,9.3,5.2,13.7,17.9,1.8,
Away,LAClippers,4,,,108.8,8.0,36.8,44.8,23.0,8.5,4.5,14.0,17.3,1.6,
Home,Los AngelesLakers,11,,,110.4,10.1,34.9,45.0,24.5,9.1,6.4,16.5,20.5,1.5,
Away,Los AngelesLakers,3,,,110.0,10.0,41.7,51.7,23.0,8.0,5.7,16.3,20.0,1.4,
Home,PhoenixSuns,7,,,111.6,9.6,36.4,46.0,26.7,8.7,5.1,13.6,18.7,2.0,
Away,PhoenixSuns,5,,,112.6,7.0,37.2,44.2,26.6,11.2,5.0,12.2,20.6,2.2,
Home,SacramentoKings,6,,,109.2,9.8,35.3,45.2,23.3,8.0,4.8,16.0,19.3,1.5,
Away,SacramentoKings,7,,,111.3,9.0,36.0,45.0,22.1,5.7,5.6,12.3,20.4,1.8,
Home,ChicagoBulls,7,,,110.7,9.9,35.6,45.4,23.4,8.6,5.1,10.1,17.0,2.3,
Away,ChicagoBulls,6,,,104.0,7.8,35.0,42.8,21.3,9.2,4.3,15.7,17.8,1.4,
Home,ClevelandCavaliers,6,,,100.5,7.8,34.2,42.0,23.8,8.0,4.0,14.8,15.5,1.6,
Away,ClevelandCavaliers,8,,,105.8,12.1,33.0,45.1,24.9,8.1,3.6,15.8,16.0,1.6,
Home,DetroitPistons,5,,,95.0,12.2,32.4,44.6,20.4,8.2,4.8,13.4,19.2,1.5,
Away,DetroitPistons,7,,,99.4,10.6,29.6,40.1,22.6,8.9,5.4,15.9,19.1,1.4,
Home,IndianaPacers,6,,,110.8,10.2,34.3,44.5,27.0,8.2,6.2,15.7,20.2,1.7,
Away,IndianaPacers,8,,,107.9,10.0,36.8,46.8,22.3,6.3,6.9,14.5,22.0,1.5,
Home,MilwaukeeBucks,5,,,104.2,11.0,35.0,46.0,20.4,7.2,4.4,11.6,19.4,1.8,
Away,MilwaukeeBucks,9,,,109.9,9.4,34.6,44.0,22.9,7.8,4.2,13.2,17.3,1.7,
Home,DallasMavericks,6,,,108.3,10.0,34.5,44.5,21.7,6.0,5.0,11.8,19.2,1.8,
Away,DallasMavericks,6,,,100.7,10.3,36.8,47.2,21.3,8.2,4.7,12.5,19.5,1.7,
Home,HoustonRockets,6,,,99.5,9.0,36.7,45.7,18.8,7.5,5.5,15.8,20.7,1.2,
Away,HoustonRockets,7,,,103.7,10.0,35.0,45.0,21.6,8.4,3.7,20.7,19.7,1.0,
Home,MemphisGrizzlies,7,,,110.9,12.4,36.6,49.0,25.1,9.4,6.9,13.0,17.4,1.9,
Away,MemphisGrizzlies,6,,,104.3,14.5,31.5,46.0,23.8,10.3,4.8,14.0,18.7,1.7,
Home,New OrleansPelicans,7,,,106.6,11.9,32.4,44.3,25.6,7.1,5.1,11.4,21.3,2.2,
Away,New OrleansPelicans,7,,,97.7,12.4,34.3,46.7,22.1,7.6,3.9,17.7,18.3,1.3,
Home,San AntonioSpurs,6,,,118.0,9.8,34.2,44.0,30.5,8.7,4.8,11.8,19.8,2.6,
Away,San AntonioSpurs,7,,,102.4,8.7,35.4,44.1,26.7,9.1,5.6,13.7,14.6,1.9,
Home,AtlantaHawks,5,,,114.2,9.8,37.0,46.8,23.6,9.0,4.4,11.6,19.0,2.0,
Away,AtlantaHawks,9,,,103.8,12.6,34.1,46.7,21.7,4.9,3.1,12.8,17.3,1.7,
Home,CharlotteHornets,6,,,116.2,12.0,34.0,46.0,27.7,8.2,6.0,11.7,21.0,2.4,
Away,CharlotteHornets,9,,,111.3,10.3,33.7,44.0,24.8,10.4,3.9,14.6,17.4,1.7,
Home,MiamiHeat,5,,,110.8,11.2,37.0,48.2,25.4,7.0,1.6,14.0,20.4,1.8,
Away,MiamiHeat,8,,,110.5,11.9,37.4,49.3,23.0,7.5,2.9,15.1,22.1,1.5,
Home,OrlandoMagic,7,,,94.9,9.3,33.6,42.9,21.1,7.6,4.9,15.9,18.1,1.3,
Away,OrlandoMagic,6,,,104.0,10.8,36.3,47.2,21.0,5.2,5.7,15.8,21.8,1.3,
Home,WashingtonWizards,6,,,114.7,8.5,39.8,48.3,24.3,5.8,6.3,13.0,17.2,1.9,
Away,WashingtonWizards,6,,,102.7,9.0,38.3,47.3,22.5,8.2,5.5,14.5,19.2,1.6,
Home,DenverNuggets,8,,,104.1,10.1,36.1,46.3,24.5,8.1,3.5,13.4,19.9,1.8,
Away,DenverNuggets,5,,,103.2,8.4,34.2,42.6,23.8,8.8,5.2,14.2,16.8,1.7,
Home,MinnesotaTimberwolves,7,,,100.7,12.9,31.1,44.0,22.0,10.9,6.1,16.7,22.6,1.3,
Away,MinnesotaTimberwolves,5,,,110.0,13.6,32.0,45.6,26.2,7.6,5.2,14.6,22.2,1.8,
Home,Oklahoma CityThunder,6,,,104.0,11.0,35.5,46.5,19.7,7.7,4.2,12.7,17.5,1.6,
Away,Oklahoma CityThunder,6,,,94.7,10.2,38.3,48.5,19.7,7.0,4.0,16.3,16.8,1.2,
Home,PortlandTrail Blazers,6,,,116.2,10.7,39.7,50.3,23.5,8.8,5.5,12.0,18.7,2.0,
Away,PortlandTrail Blazers,8,,,102.9,10.9,33.5,44.4,23.3,7.6,4.0,14.1,18.5,1.6,
Home,UtahJazz,6,,,110.5,10.3,35.0,45.3,20.0,7.5,4.5,13.5,19.8,1.5,
Away,UtahJazz,7,,,109.9,10.7,37.0,47.7,20.7,8.4,5.4,14.6,18.1,1.4,
